date,workflow,source,sessions,completed,accepted,avg_rating
2026-08-01,REPLY-DRAFT,app,116,105,75,4.27
2026-08-01,SUMMARIZE,app,71,67,55,4.54
2026-08-01,SEARCH,app,224,220,133,3.92
2026-08-02,reply-draft,app,96,88,64,4.35
2026-08-02,  summarize  ,app,63,57,45,4.45
2026-08-02,search,app,207,202,123,3.84
2026-08-03,reply-draft,app,124,112,79,n/a
2026-08-03,summarize,app,85,82,65,4.43
2026-08-03,search,app,191,186,113,3.92
2026-08-04,reply-draft,app,113,99,70,4.42
2026-08-04,summarize,app,72,68,55,4.35
2026-08-04,search,app,201,201,112,3.87
2026-08-05,reply-draft,app,118,104,75,4.29
2026-08-05,summarize,app,65,62,51,4.59
2026-08-05,search,app,234,231,139,3.77
2026-08-06,reply-draft,app,128,113,80,4.17
2026-08-06,summarize,app,70,65,54,4.3
2026-08-06,search,app,165,162,101,3.96
2026-08-07,reply-draft,app,92,78,56,4.23
2026-08-07,summarize,app,69,66,54,4.52
2026-08-07,search,app,205,202,127,3.96
2026-08-08,reply-draft,app,127,115,51,4.43
2026-08-08,summarize,app,89,85,65,4.44
2026-08-08,search,app,220,207,123,4.0
2026-08-09,reply-draft,app,101,94,46,4.28
2026-08-09,summarize,app,83,79,64,4.61
2026-08-09,search,app,184,178,110,3.9
2026-08-10,reply-draft,app,107,98,49,4.26
2026-08-10,summarize,app,66,62,50,4.47
2026-08-10,search,app,233,223,139,3.77
2026-08-11,reply-draft,app,108,98,49,4.39
2026-08-11,summarize,app,83,79,64,4.56
2026-08-11,search,app,195,192,117,3.9
2026-08-12,reply-draft,app,131,119,61,4.33
2026-08-12,summarize,app,75,70,56,4.59
2026-08-12,search,app,191,188,119,3.64
2026-08-13,reply-draft,app,103,93,45,4.32
2026-08-13,summarize,app,75,72,58,4.45
2026-08-13,search,app,258,254,149,3.89
2026-08-14,reply-draft,app,116,104,44,4.25
2026-08-14,summarize,app,89,82,66,4.6
2026-08-14,search,app,220,220,124,3.86
2026-08-01,REPLY-DRAFT,app,116,105,75,4.27
2026-08-06,search,demo,900,890,860,4.9
